C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIF-6.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:32:21 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000,  -6175.0103,          -13842.4507,          -21827.1661,
      60.000,  -6315.8969,          -13754.7476,          -21842.3976,
     120.000,  -6457.1871,          -13667.4908,          -21855.9590,
     180.000,  -6598.8687,          -13580.6889,          -21867.8492,
     240.000,  -6740.9298,          -13494.3502,          -21878.0673,
     300.000,  -6883.3581,          -13408.4829,          -21886.6126,
     360.000,  -7026.1412,          -13323.0951,          -21893.4844,
     420.000,  -7169.2667,          -13238.1949,          -21898.6823,
     480.000,  -7312.7222,          -13153.7899,          -21902.2058,
     540.000,  -7456.4950,          -13069.8879,          -21904.0547,
     600.000,  -7600.5725,          -12986.4964,          -21904.2289,
     660.000,  -7744.9420,          -12903.6229,          -21902.7283,
     720.000,  -7889.5906,          -12821.2745,          -21899.5532,
     780.000,  -8034.5054,          -12739.4583,          -21894.7036,
     840.000,  -8179.6734,          -12658.1815,          -21888.1802,
     900.000,  -8325.0816,          -12577.4507,          -21879.9832,
     960.000,  -8470.7167,          -12497.2726,          -21870.1135,
    1020.000,  -8616.5657,          -12417.6539,          -21858.5717,
    1080.000,  -8762.6153,          -12338.6007,          -21845.3588,
    1140.000,  -8908.8520,          -12260.1195,          -21830.4757,
    1200.000,  -9055.2626,          -12182.2163,          -21813.9237,
    1260.000,  -9201.8335,          -12104.8970,          -21795.7039,
    1320.000,  -9348.5511,          -12028.1674,          -21775.8179,
    1380.000,  -9495.4020,          -11952.0331,          -21754.2671,
    1440.000,  -9642.3725,          -11876.4995,          -21731.0532,
    1500.000,  -9789.4488,          -11801.5721,          -21706.1780,
    1560.000,  -9936.6173,          -11727.2560,          -21679.6434,
    1620.000, -10083.8641,          -11653.5562,          -21651.4514,
    1680.000, -10231.1754,          -11580.4775,          -21621.6042,
    1740.000, -10378.5373,          -11508.0246,          -21590.1041,
    1800.000, -10525.9359,          -11436.2021,          -21556.9535,
    1860.000, -10673.3571,          -11365.0144,          -21522.1550,
    1920.000, -10820.7871,          -11294.4656,          -21485.7112,
    1980.000, -10968.2116,          -11224.5599,          -21447.6249,
    2040.000, -11115.6167,          -11155.3011,          -21407.8990,
    2100.000, -11262.9882,          -11086.6930,          -21366.5366,
    2160.000, -11410.3119,          -11018.7391,          -21323.5408,
    2220.000, -11557.5738,          -10951.4429,          -21278.9150,
    2280.000, -11704.7596,          -10884.8077,          -21232.6625,
    2340.000, -11851.8550,          -10818.8364,          -21184.7870,
    2400.000, -11998.8458,          -10753.5321,          -21135.2920,
    2460.000, -12145.7178,          -10688.8975,          -21084.1814,
    2520.000, -12292.4567,          -10624.9352,          -21031.4590,
    2580.000, -12439.0481,          -10561.6477,          -20977.1289,
    2640.000, -12585.4779,          -10499.0372,          -20921.1953,
    2700.000, -12731.7315,          -10437.1059,          -20863.6625,
    2760.000, -12877.7948,          -10375.8556,          -20804.5348,
    2820.000, -13023.6534,          -10315.2882,          -20743.8167,
    2880.000, -13169.2929,          -10255.4053,          -20681.5130,
