C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/Orbit Information_ECI/GPS BIIF-9.txt
2017/12/21 00:05:27.7500 UTC

Generated: Mon Apr 30 11:45:37 2018,
Start: 2017/12/11 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000,  20341.0108,            2756.7884,           16801.7217,
      60.000,  20219.5866,            2915.0473,           16921.6140,
     120.000,  20096.6083,            3073.0822,           17040.2054,
     180.000,  19972.0853,            3230.8809,           17157.4867,
     240.000,  19846.0271,            3388.4313,           17273.4490,
     300.000,  19718.4437,            3545.7212,           17388.0835,
     360.000,  19589.3448,            3702.7386,           17501.3814,
     420.000,  19458.7404,            3859.4715,           17613.3340,
     480.000,  19326.6406,            4015.9078,           17723.9327,
     540.000,  19193.0556,            4172.0354,           17833.1692,
     600.000,  19057.9958,            4327.8425,           17941.0350,
     660.000,  18921.4715,            4483.3171,           18047.5220,
     720.000,  18783.4933,            4638.4471,           18152.6220,
     780.000,  18644.0720,            4793.2207,           18256.3270,
     840.000,  18503.2181,            4947.6261,           18358.6290,
     900.000,  18360.9427,            5101.6514,           18459.5203,
     960.000,  18217.2567,            5255.2847,           18558.9932,
    1020.000,  18072.1713,            5408.5144,           18657.0401,
    1080.000,  17925.6975,            5561.3285,           18753.6534,
    1140.000,  17777.8467,            5713.7155,           18848.8259,
    1200.000,  17628.6304,            5865.6635,           18942.5503,
    1260.000,  17478.0600,            6017.1610,           19034.8195,
    1320.000,  17326.1472,            6168.1964,           19125.6263,
    1380.000,  17172.9037,            6318.7581,           19214.9640,
    1440.000,  17018.3413,            6468.8344,           19302.8257,
    1500.000,  16862.4720,            6618.4140,           19389.2047,
    1560.000,  16705.3077,            6767.4853,           19474.0944,
    1620.000,  16546.8606,            6916.0370,           19557.4885,
    1680.000,  16387.1429,            7064.0575,           19639.3804,
    1740.000,  16226.1670,            7211.5357,           19719.7642,
    1800.000,  16063.9452,            7358.4602,           19798.6335,
    1860.000,  15900.4900,            7504.8197,           19875.9824,
    1920.000,  15735.8141,            7650.6031,           19951.8051,
    1980.000,  15569.9302,            7795.7991,           20026.0958,
    2040.000,  15402.8510,            7940.3967,           20098.8489,
    2100.000,  15234.5894,            8084.3847,           20170.0587,
    2160.000,  15065.1584,            8227.7522,           20239.7201,
    2220.000,  14894.5711,            8370.4881,           20307.8276,
    2280.000,  14722.8405,            8512.5816,           20374.3761,
    2340.000,  14549.9799,            8654.0217,           20439.3605,
    2400.000,  14376.0027,            8794.7976,           20502.7760,
    2460.000,  14200.9222,            8934.8987,           20564.6178,
    2520.000,  14024.7520,            9074.3140,           20624.8811,
    2580.000,  13847.5055,            9213.0331,           20683.5614,
    2640.000,  13669.1965,            9351.0451,           20740.6544,
    2700.000,  13489.8386,            9488.3397,           20796.1556,
    2760.000,  13309.4458,            9624.9063,           20850.0609,
    2820.000,  13128.0318,            9760.7345,           20902.3662,
    2880.000,  12945.6106,            9895.8138,           20953.0676,
    2940.000,  12762.1963,           10030.1340,           21002.1613,
    3000.000,  12577.8029,           10163.6847,           21049.6435,
    3060.000,  12392.4448,           10296.4558,           21095.5108,
    3120.000,  12206.1361,           10428.4371,           21139.7596,
    3180.000,  12018.8912,           10559.6185,           21182.3867,
    3240.000,  11830.7244,           10689.9901,           21223.3888,
    3300.000,  11641.6503,           10819.5418,           21262.7629,
    3360.000,  11451.6834,           10948.2637,           21300.5060,
    3420.000,  11260.8383,           11076.1461,           21336.6154,
    3480.000,  11069.1297,           11203.1791,           21371.0883,
    3540.000,  10876.5723,           11329.3530,           21403.9221,
    3600.000,  10683.1810,           11454.6583,           21435.1145,
    3660.000,  10488.9705,           11579.0853,           21464.6630,
    3720.000,  10293.9559,           11702.6245,           21492.5656,
    3780.000,  10098.1520,           11825.2666,           21518.8201,
    3840.000,   9901.5741,           11947.0021,           21543.4247,
    3900.000,   9704.2371,           12067.8218,           21566.3775,
    3960.000,   9506.1562,           12187.7164,           21587.6767,
    4020.000,   9307.3467,           12306.6769,           21607.3210,
    4080.000,   9107.8237,           12424.6940,           21625.3088,
    4140.000,   8907.6028,           12541.7589,           21641.6389,
    4200.000,   8706.6991,           12657.8627,           21656.3100,
    4260.000,   8505.1282,           12772.9963,           21669.3211,
    4320.000,   8302.9056,           12887.1512,           21680.6714,
    4380.000,   8100.0467,           13000.3185,           21690.3600,
    4440.000,   7896.5671,           13112.4896,           21698.3862,
    4500.000,   7692.4825,           13223.6561,           21704.7496,
    4560.000,   7487.8085,           13333.8094,           21709.4497,
    4620.000,   7282.5608,           13442.9412,           21712.4862,
    4680.000,   7076.7553,           13551.0431,           21713.8590,
    4740.000,   6870.4075,           13658.1068,           21713.5680,
    4800.000,   6663.5335,           13764.1244,           21711.6134,
    4860.000,   6456.1491,           13869.0876,           21707.9954,
    4920.000,   6248.2702,           13972.9885,           21702.7143,
    4980.000,   6039.9127,           14075.8191,           21695.7707,
    5040.000,   5831.0926,           14177.5718,           21687.1651,
    5100.000,   5621.8259,           14278.2386,           21676.8982,
    5160.000,   5412.1287,           14377.8120,           21664.9710,
    5220.000,   5202.0171,           14476.2844,           21651.3845,
    5280.000,   4991.5071,           14573.6483,           21636.1397,
    5340.000,   4780.6149,           14669.8963,           21619.2379,
    5400.000,   4569.3567,           14765.0210,           21600.6804,
    5460.000,   4357.7486,           14859.0153,           21580.4689,
    5520.000,   4145.8070,           14951.8721,           21558.6048,
    5580.000,   3933.5479,           15043.5841,           21535.0900,
    5640.000,   3720.9877,           15134.1446,           21509.9264,
    5700.000,   3508.1427,           15223.5465,           21483.1158,
    5760.000,   3295.0291,           15311.7832,           21454.6606,
    5820.000,   3081.6634,           15398.8479,           21424.5629,
    5880.000,   2868.0618,           15484.7340,           21392.8250,
    5940.000,   2654.2407,           15569.4350,           21359.4496,
    6000.000,   2440.2164,           15652.9445,           21324.4393,
    6060.000,   2226.0054,           15735.2561,           21287.7967,
    6120.000,   2011.6241,           15816.3636,           21249.5248,
    6180.000,   1797.0889,           15896.2609,           21209.6266,
    6240.000,   1582.4161,           15974.9418,           21168.1053,
    6300.000,   1367.6223,           16052.4005,           21124.9640,
    6360.000,   1152.7238,           16128.6310,           21080.2061,
    6420.000,    937.7371,           16203.6276,           21033.8352,
    6480.000,    722.6788,           16277.3846,           20985.8549,
    6540.000,    507.5651,           16349.8964,           20936.2689,
    6600.000,    292.4126,           16421.1575,           20885.0811,
    6660.000,     77.2377,           16491.1625,           20832.2954,
    6720.000,   -137.9430,           16559.9062,           20777.9161,
    6780.000,   -353.1133,           16627.3834,           20721.9473,
    6840.000,   -568.2565,           16693.5888,           20664.3933,
    6900.000,   -783.3562,           16758.5176,           20605.2587,
    6960.000,   -998.3961,           16822.1648,           20544.5481,
    7020.000,  -1213.3596,           16884.5257,           20482.2661,
    7080.000,  -1428.2303,           16945.5954,           20418.4176,
    7140.000,  -1642.9918,           17005.3694,           20353.0076,
    7200.000,  -1857.6277,           17063.8432,           20286.0411,
    7260.000,  -2072.1215,           17121.0124,           20217.5233,
    7320.000,  -2286.4570,           17176.8726,           20147.4595,
    7380.000,  -2500.6176,           17231.4196,           20075.8552,
    7440.000,  -2714.5871,           17284.6494,           20002.7159,
    7500.000,  -2928.3490,           17336.5580,           19928.0472,
    7560.000,  -3141.8872,           17387.1413,           19851.8550,
    7620.000,  -3355.1851,           17436.3956,           19774.1451,
    7680.000,  -3568.2266,           17484.3172,           19694.9235,
    7740.000,  -3780.9955,           17530.9026,           19614.1964,
    7800.000,  -3993.4753,           17576.1481,           19531.9700,
    7860.000,  -4205.6499,           17620.0504,           19448.2506,
