C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIR-13.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:41:21 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000,   6682.5947,          -18817.4646,          -18171.1242,
      60.000,   6563.2017,          -18760.0487,          -18275.1172,
     120.000,   6442.9536,          -18702.6728,          -18377.7777,
     180.000,   6321.8574,          -18645.3477,          -18479.0986,
     240.000,   6199.9202,          -18588.0840,          -18579.0724,
     300.000,   6077.1490,          -18530.8922,          -18677.6921,
     360.000,   5953.5512,          -18473.7828,          -18774.9505,
     420.000,   5829.1343,          -18416.7662,          -18870.8407,
     480.000,   5703.9058,          -18359.8526,          -18965.3559,
     540.000,   5577.8735,          -18303.0524,          -19058.4892,
     600.000,   5451.0451,          -18246.3756,          -19150.2341,
     660.000,   5323.4287,          -18189.8324,          -19240.5838,
     720.000,   5195.0323,          -18133.4327,          -19329.5319,
     780.000,   5065.8641,          -18077.1865,          -19417.0721,
     840.000,   4935.9325,          -18021.1035,          -19503.1981,
     900.000,   4805.2460,          -17965.1936,          -19587.9036,
     960.000,   4673.8132,          -17909.4662,          -19671.1826,
    1020.000,   4541.6427,          -17853.9311,          -19753.0290,
    1080.000,   4408.7434,          -17798.5976,          -19833.4371,
    1140.000,   4275.1243,          -17743.4751,          -19912.4009,
    1200.000,   4140.7943,          -17688.5729,          -19989.9149,
    1260.000,   4005.7628,          -17633.9001,          -20065.9734,
    1320.000,   3870.0390,          -17579.4659,          -20140.5709,
    1380.000,   3733.6323,          -17525.2792,          -20213.7020,
    1440.000,   3596.5523,          -17471.3489,          -20285.3615,
    1500.000,   3458.8085,          -17417.6838,          -20355.5442,
    1560.000,   3320.4108,          -17364.2924,          -20424.2450,
    1620.000,   3181.3690,          -17311.1835,          -20491.4589,
    1680.000,   3041.6931,          -17258.3654,          -20557.1810,
    1740.000,   2901.3931,          -17205.8465,          -20621.4066,
    1800.000,   2760.4793,          -17153.6350,          -20684.1310,
    1860.000,   2618.9619,          -17101.7391,          -20745.3496,
    1920.000,   2476.8513,          -17050.1667,          -20805.0580,
    1980.000,   2334.1580,          -16998.9258,          -20863.2517,
    2040.000,   2190.8926,          -16948.0242,          -20919.9266,
    2100.000,   2047.0657,          -16897.4695,          -20975.0785,
    2160.000,   1902.6882,          -16847.2692,          -21028.7034,
    2220.000,   1757.7709,          -16797.4309,          -21080.7973,
    2280.000,   1612.3248,          -16747.9619,          -21131.3563,
    2340.000,   1466.3610,          -16698.8692,          -21180.3769,
    2400.000,   1319.8905,          -16650.1601,          -21227.8552,
    2460.000,   1172.9247,          -16601.8415,          -21273.7879,
    2520.000,   1025.4749,          -16553.9201,          -21318.1714,
    2580.000,    877.5525,          -16506.4027,          -21361.0026,
    2640.000,    729.1690,          -16459.2959,          -21402.2782,
    2700.000,    580.3360,          -16412.6061,          -21441.9951,
