C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/Orbit Information_ECI/GPS BIIR-6.txt
2017/12/21 00:05:27.7500 UTC

Generated: Mon Apr 30 11:49:35 2018,
Start: 2017/12/11 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000,  21314.5470,           15688.2446,             970.6915,
      60.000,  21238.5639,           15798.0615,             779.6025,
     120.000,  21160.9395,           15906.6575,             588.4534,
     180.000,  21081.6794,           16014.0239,             397.2587,
     240.000,  21000.7894,           16120.1523,             206.0333,
     300.000,  20918.2753,           16225.0340,              14.7919,
     360.000,  20834.1432,           16328.6607,            -176.4506,
     420.000,  20748.3991,           16431.0240,            -367.6794,
     480.000,  20661.0494,           16532.1158,            -558.8798,
     540.000,  20572.1005,           16631.9279,            -750.0369,
     600.000,  20481.5588,           16730.4524,            -941.1360,
     660.000,  20389.4310,           16827.6812,           -1132.1621,
     720.000,  20295.7239,           16923.6066,           -1323.1005,
     780.000,  20200.4444,           17018.2209,           -1513.9364,
     840.000,  20103.5994,           17111.5163,           -1704.6550,
     900.000,  20005.1963,           17203.4854,           -1895.2414,
     960.000,  19905.2422,           17294.1208,           -2085.6809,
    1020.000,  19803.7445,           17383.4151,           -2275.9585,
    1080.000,  19700.7108,           17471.3610,           -2466.0597,
    1140.000,  19596.1487,           17557.9516,           -2655.9694,
    1200.000,  19490.0660,           17643.1797,           -2845.6731,
    1260.000,  19382.4707,           17727.0385,           -3035.1558,
    1320.000,  19273.3707,           17809.5211,           -3224.4029,
    1380.000,  19162.7741,           17890.6208,           -3413.3996,
    1440.000,  19050.6893,           17970.3311,           -3602.1311,
    1500.000,  18937.1246,           18048.6454,           -3790.5827,
    1560.000,  18822.0885,           18125.5574,           -3978.7398,
    1620.000,  18705.5897,           18201.0608,           -4166.5876,
    1680.000,  18587.6369,           18275.1494,           -4354.1115,
    1740.000,  18468.2390,           18347.8171,           -4541.2968,
    1800.000,  18347.4049,           18419.0581,           -4728.1288,
    1860.000,  18225.1438,           18488.8665,           -4914.5931,
    1920.000,  18101.4648,           18557.2364,           -5100.6750,
    1980.000,  17976.3774,           18624.1625,           -5286.3599,
    2040.000,  17849.8908,           18689.6390,           -5471.6332,
    2100.000,  17722.0148,           18753.6607,           -5656.4806,
    2160.000,  17592.7590,           18816.2222,           -5840.8875,
    2220.000,  17462.1331,           18877.3185,           -6024.8395,
    2280.000,  17330.1472,           18936.9444,           -6208.3221,
    2340.000,  17196.8111,           18995.0949,           -6391.3209,
    2400.000,  17062.1350,           19051.7654,           -6573.8216,
    2460.000,  16926.1291,           19106.9511,           -6755.8099,
    2520.000,  16788.8039,           19160.6473,           -6937.2715,
    2580.000,  16650.1697,           19212.8496,           -7118.1920,
    2640.000,  16510.2371,           19263.5537,           -7298.5574,
    2700.000,  16369.0167,           19312.7554,           -7478.3535,
    2760.000,  16226.5194,           19360.4504,           -7657.5660,
    2820.000,  16082.7561,           19406.6348,           -7836.1810,
    2880.000,  15937.7376,           19451.3047,           -8014.1842,
    2940.000,  15791.4751,           19494.4564,           -8191.5619,
    3000.000,  15643.9798,           19536.0862,           -8368.2999,
    3060.000,  15495.2630,           19576.1905,           -8544.3843,
    3120.000,  15345.3361,           19614.7660,           -8719.8014,
    3180.000,  15194.2105,           19651.8094,           -8894.5372,
    3240.000,  15041.8979,           19687.3175,           -9068.5780,
    3300.000,  14888.4100,           19721.2873,           -9241.9101,
    3360.000,  14733.7585,           19753.7159,           -9414.5198,
    3420.000,  14577.9554,           19784.6004,           -9586.3934,
    3480.000,  14421.0126,           19813.9381,           -9757.5175,
    3540.000,  14262.9421,           19841.7266,           -9927.8785,
    3600.000,  14103.7563,           19867.9634,          -10097.4629,
    3660.000,  13943.4673,           19892.6461,          -10266.2573,
    3720.000,  13782.0875,           19915.7727,          -10434.2485,
    3780.000,  13619.6294,           19937.3410,          -10601.4231,
    3840.000,  13456.1054,           19957.3491,          -10767.7680,
    3900.000,  13291.5283,           19975.7951,          -10933.2699,
    3960.000,  13125.9107,           19992.6775,          -11097.9158,
    4020.000,  12959.2654,           20007.9946,          -11261.6927,
    4080.000,  12791.6054,           20021.7450,          -11424.5875,
    4140.000,  12622.9436,           20033.9273,          -11586.5875,
    4200.000,  12453.2931,           20044.5404,          -11747.6797,
    4260.000,  12282.6670,           20053.5833,          -11907.8515,
    4320.000,  12111.0785,           20061.0549,          -12067.0901,
    4380.000,  11938.5410,           20066.9546,          -12225.3829,
    4440.000,  11765.0679,           20071.2815,          -12382.7174,
    4500.000,  11590.6725,           20074.0351,          -12539.0810,
    4560.000,  11415.3685,           20075.2150,          -12694.4615,
    4620.000,  11239.1694,           20074.8209,          -12848.8465,
    4680.000,  11062.0890,           20072.8525,          -13002.2237,
    4740.000,  10884.1410,           20069.3100,          -13154.5810,
    4800.000,  10705.3393,           20064.1932,          -13305.9063,
    4860.000,  10525.6978,           20057.5024,          -13456.1876,
    4920.000,  10345.2305,           20049.2380,          -13605.4129,
    4980.000,  10163.9514,           20039.4003,          -13753.5704,
    5040.000,   9981.8747,           20027.9900,          -13900.6484,
    5100.000,   9799.0145,           20015.0078,          -14046.6352,
    5160.000,   9615.3851,           20000.4544,          -14191.5191,
    5220.000,   9431.0009,           19984.3309,          -14335.2887,
    5280.000,   9245.8762,           19966.6383,          -14477.9325,
    5340.000,   9060.0254,           19947.3779,          -14619.4393,
    5400.000,   8873.4632,           19926.5509,          -14759.7977,
    5460.000,   8686.2040,           19904.1589,          -14898.9967,
    5520.000,   8498.2625,           19880.2034,          -15037.0251,
    5580.000,   8309.6534,           19854.6861,          -15173.8720,
    5640.000,   8120.3915,           19827.6089,          -15309.5266,
    5700.000,   7930.4914,           19798.9738,          -15443.9779,
    5760.000,   7739.9682,           19768.7828,          -15577.2154,
    5820.000,   7548.8367,           19737.0381,          -15709.2284,
    5880.000,   7357.1119,           19703.7422,          -15840.0065,
    5940.000,   7164.8088,           19668.8974,          -15969.5392,
    6000.000,   6971.9424,           19632.5064,          -16097.8163,
    6060.000,   6778.5279,           19594.5719,          -16224.8275,
    6120.000,   6584.5804,           19555.0967,          -16350.5628,
    6180.000,   6390.1151,           19514.0838,          -16475.0121,
    6240.000,   6195.1474,           19471.5364,          -16598.1656,
    6300.000,   5999.6924,           19427.4575,          -16720.0134,
