C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIRM-2.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:48:48 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,      -0.000,   3866.9150,           15284.5624,          -21372.6907,
      60.000,   4003.5874,           15196.5488,          -21412.6991,
     120.000,   4140.7986,           15108.8608,          -21451.0677,
     180.000,   4278.5379,           15021.5085,          -21487.7940,
     240.000,   4416.7946,           14934.5018,          -21522.8755,
     300.000,   4555.5577,           14847.8503,          -21556.3099,
     360.000,   4694.8162,           14761.5636,          -21588.0950,
     420.000,   4834.5589,           14675.6513,          -21618.2288,
     480.000,   4974.7746,           14590.1227,          -21646.7094,
     540.000,   5115.4520,           14504.9871,          -21673.5348,
     600.000,   5256.5795,           14420.2535,          -21698.7035,
     660.000,   5398.1457,           14335.9309,          -21722.2138,
     720.000,   5540.1389,           14252.0283,          -21744.0644,
     780.000,   5682.5473,           14168.5543,          -21764.2539,
     840.000,   5825.3591,           14085.5175,          -21782.7812,
     900.000,   5968.5624,           14002.9264,          -21799.6453,
     960.000,   6112.1451,           13920.7894,          -21814.8451,
    1020.000,   6256.0951,           13839.1146,          -21828.3800,
    1080.000,   6400.4003,           13757.9101,          -21840.2492,
    1140.000,   6545.0483,           13677.1839,          -21850.4522,
    1200.000,   6690.0267,           13596.9436,          -21858.9886,
    1260.000,   6835.3231,           13517.1971,          -21865.8581,
    1320.000,   6980.9249,           13437.9516,          -21871.0606,
    1380.000,   7126.8197,           13359.2148,          -21874.5960,
    1440.000,   7272.9945,           13280.9937,          -21876.4644,
    1500.000,   7419.4368,           13203.2954,          -21876.6661,
    1560.000,   7566.1337,           13126.1269,          -21875.2014,
    1620.000,   7713.0722,           13049.4949,          -21872.0707,
    1680.000,   7860.2393,           12973.4061,          -21867.2746,
    1740.000,   8007.6222,           12897.8671,          -21860.8140,
    1800.000,   8155.2075,           12822.8840,          -21852.6895,
    1860.000,   8302.9823,           12748.4632,          -21842.9023,
    1920.000,   8450.9332,           12674.6107,          -21831.4534,
    1980.000,   8599.0470,           12601.3324,          -21818.3440,
    2040.000,   8747.3103,           12528.6339,          -21803.5755,
    2100.000,   8895.7097,           12456.5210,          -21787.1494,
    2160.000,   9044.2319,           12384.9990,          -21769.0672,
    2220.000,   9192.8632,           12314.0731,          -21749.3307,
    2280.000,   9341.5903,           12243.7487,          -21727.9417,
    2340.000,   9490.3994,           12174.0305,          -21704.9023,
    2400.000,   9639.2769,           12104.9235,          -21680.2144,
    2460.000,   9788.2093,           12036.4322,          -21653.8804,
    2520.000,   9937.1827,           11968.5612,          -21625.9025,
