C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/Orbit Information_ECI/GPS BIIRM-8.txt
2017/12/21 00:05:27.7500 UTC

Generated: Mon Apr 30 11:56:56 2018,
Start: 2017/12/11 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000, -24483.7014,            7711.7242,            6299.7080,
      60.000, -24482.1704,            7563.9403,            6480.5894,
     120.000, -24478.7367,            7415.5685,            6660.9669,
     180.000, -24473.4004,            7266.6204,            6840.8267,
     240.000, -24466.1618,            7117.1074,            7020.1547,
     300.000, -24457.0215,            6967.0413,            7198.9369,
     360.000, -24445.9801,            6816.4336,            7377.1594,
     420.000, -24433.0384,            6665.2960,            7554.8083,
     480.000, -24418.1973,            6513.6402,            7731.8698,
     540.000, -24401.4579,            6361.4781,            7908.3301,
     600.000, -24382.8214,            6208.8214,            8084.1755,
     660.000, -24362.2893,            6055.6820,            8259.3922,
     720.000, -24339.8630,            5902.0718,            8433.9666,
     780.000, -24315.5443,            5748.0027,            8607.8852,
     840.000, -24289.3349,            5593.4866,            8781.1344,
     900.000, -24261.2370,            5438.5357,            8953.7007,
     960.000, -24231.2525,            5283.1618,            9125.5706,
    1020.000, -24199.3838,            5127.3771,            9296.7308,
    1080.000, -24165.6334,            4971.1938,            9467.1679,
    1140.000, -24130.0038,            4814.6238,            9636.8687,
    1200.000, -24092.4977,            4657.6795,            9805.8199,
    1260.000, -24053.1181,            4500.3729,            9974.0085,
    1320.000, -24011.8678,            4342.7164,           10141.4212,
    1380.000, -23968.7503,            4184.7221,           10308.0451,
    1440.000, -23923.7686,            4026.4024,           10473.8672,
    1500.000, -23876.9264,            3867.7695,           10638.8746,
    1560.000, -23828.2272,            3708.8359,           10803.0544,
    1620.000, -23777.6748,            3549.6138,           10966.3938,
    1680.000, -23725.2731,            3390.1156,           11128.8802,
    1740.000, -23671.0261,            3230.3537,           11290.5009,
    1800.000, -23614.9382,            3070.3406,           11451.2433,
    1860.000, -23557.0135,            2910.0888,           11611.0949,
    1920.000, -23497.2566,            2749.6105,           11770.0432,
    1980.000, -23435.6722,            2588.9184,           11928.0759,
    2040.000, -23372.2650,            2428.0250,           12085.1807,
    2100.000, -23307.0400,            2266.9427,           12241.3454,
    2160.000, -23240.0022,            2105.6841,           12396.5577,
    2220.000, -23171.1568,            1944.2617,           12550.8057,
    2280.000, -23100.5092,            1782.6881,           12704.0774,
    2340.000, -23028.0649,            1620.9759,           12856.3608,
    2400.000, -22953.8295,            1459.1375,           13007.6440,
    2460.000, -22877.8089,            1297.1857,           13157.9154,
    2520.000, -22800.0088,            1135.1330,           13307.1631,
    2580.000, -22720.4355,             972.9920,           13455.3757,
    2640.000, -22639.0951,             810.7753,           13602.5416,
    2700.000, -22555.9939,             648.4956,           13748.6494,
    2760.000, -22471.1384,             486.1655,           13893.6876,
    2820.000, -22384.5353,             323.7975,           14037.6452,
    2880.000, -22296.1913,             161.4043,           14180.5107,
    2940.000, -22206.1133,              -1.0014,           14322.2732,
    3000.000, -22114.3083,            -163.4070,           14462.9217,
    3060.000, -22020.7835,            -325.7999,           14602.4452,
    3120.000, -21925.5462,            -488.1675,           14740.8329,
    3180.000, -21828.6039,            -650.4971,           14878.0740,
    3240.000, -21729.9641,            -812.7762,           15014.1579,
    3300.000, -21629.6345,            -974.9920,           15149.0741,
    3360.000, -21527.6229,           -1137.1320,           15282.8121,
    3420.000, -21423.9374,           -1299.1836,           15415.3614,
    3480.000, -21318.5860,           -1461.1342,           15546.7119,
    3540.000, -21211.5770,           -1622.9711,           15676.8533,
    3600.000, -21102.9188,           -1784.6819,           15805.7756,
    3660.000, -20992.6197,           -1946.2539,           15933.4687,
    3720.000, -20880.6886,           -2107.6746,           16059.9228,
    3780.000, -20767.1340,           -2268.9314,           16185.1280,
    3840.000, -20651.9650,           -2430.0119,           16309.0747,
    3900.000, -20535.1904,           -2590.9034,           16431.7534,
    3960.000, -20416.8194,           -2751.5935,           16553.1544,
    4020.000, -20296.8614,           -2912.0697,           16673.2683,
    4080.000, -20175.3256,           -3072.3196,           16792.0860,
    4140.000, -20052.2216,           -3232.3306,           16909.5982,
    4200.000, -19927.5591,           -3392.0904,           17025.7959,
    4260.000, -19801.3476,           -3551.5866,           17140.6699,
    4320.000, -19673.5973,           -3710.8067,           17254.2116,
    4380.000, -19544.3179,           -3869.7384,           17366.4121,
    4440.000, -19413.5197,           -4028.3694,           17477.2627,
    4500.000, -19281.2129,           -4186.6874,           17586.7549,
    4560.000, -19147.4078,           -4344.6800,           17694.8802,
    4620.000, -19012.1149,           -4502.3350,           17801.6303,
    4680.000, -18875.3447,           -4659.6402,           17906.9970,
    4740.000, -18737.1081,           -4816.5834,           18010.9722,
    4800.000, -18597.4157,           -4973.1524,           18113.5478,
    4860.000, -18456.2786,           -5129.3350,           18214.7159,
    4920.000, -18313.7077,           -5285.1192,           18314.4688,
    4980.000, -18169.7142,           -5440.4928,           18412.7988,
    5040.000, -18024.3094,           -5595.4438,           18509.6983,
    5100.000, -17877.5047,           -5749.9602,           18605.1599,
    5160.000, -17729.3115,           -5904.0301,           18699.1762,
    5220.000, -17579.7414,           -6057.6414,           18791.7401,
    5280.000, -17428.8061,           -6210.7823,           18882.8444,
    5340.000, -17276.5174,           -6363.4410,           18972.4821,
    5400.000, -17122.8873,           -6515.6055,           19060.6463,
    5460.000, -16967.9277,           -6667.2642,           19147.3304,
    5520.000, -16811.6508,           -6818.4052,           19232.5277,
    5580.000, -16654.0687,           -6969.0169,           19316.2316,
    5640.000, -16495.1938,           -7119.0876,           19398.4358,
    5700.000, -16335.0385,           -7268.6057,           19479.1339,
    5760.000, -16173.6154,           -7417.5597,           19558.3198,
    5820.000, -16010.9370,           -7565.9379,           19635.9875,
    5880.000, -15847.0160,           -7713.7290,           19712.1311,
    5940.000, -15681.8653,           -7860.9215,           19786.7446,
    6000.000, -15515.4978,           -8007.5041,           19859.8226,
    6060.000, -15347.9265,           -8153.4653,           19931.3593,
    6120.000, -15179.1644,           -8298.7940,           20001.3494,
    6180.000, -15009.2247,           -8443.4789,           20069.7876,
    6240.000, -14838.1207,           -8587.5088,           20136.6686,
    6300.000, -14665.8658,           -8730.8725,           20201.9874,
    6360.000, -14492.4734,           -8873.5592,           20265.7390,
    6420.000, -14317.9571,           -9015.5576,           20327.9187,
    6480.000, -14142.3305,           -9156.8570,           20388.5216,
    6540.000, -13965.6072,           -9297.4462,           20447.5434,
    6600.000, -13787.8011,           -9437.3146,           20504.9794,
    6660.000, -13608.9261,           -9576.4514,           20560.8254,
    6720.000, -13428.9961,           -9714.8458,           20615.0772,
    6780.000, -13248.0251,           -9852.4871,           20667.7307,
    6840.000, -13066.0273,           -9989.3647,           20718.7820,
    6900.000, -12883.0168,          -10125.4682,           20768.2272,
    6960.000, -12699.0079,          -10260.7870,           20816.0627,
    7020.000, -12514.0151,          -10395.3107,           20862.2848,
    7080.000, -12328.0526,          -10529.0289,           20906.8902,
    7140.000, -12141.1350,          -10661.9314,           20949.8756,
    7200.000, -11953.2769,          -10794.0080,           20991.2377,
    7260.000, -11764.4928,          -10925.2484,           21030.9735,
    7320.000, -11574.7976,          -11055.6427,           21069.0801,
    7380.000, -11384.2059,          -11185.1807,           21105.5546,
    7440.000, -11192.7327,          -11313.8526,           21140.3945,
    7500.000, -11000.3927,          -11441.6484,           21173.5971,
    7560.000, -10807.2011,          -11568.5584,           21205.1600,
    7620.000, -10613.1728,          -11694.5727,           21235.0811,
    7680.000, -10418.3230,          -11819.6818,           21263.3580,
    7740.000, -10222.6668,          -11943.8761,           21289.9888,
    7800.000, -10026.2194,          -12067.1460,           21314.9715,
    7860.000,  -9828.9961,          -12189.4820,           21338.3045,
    7920.000,  -9631.0123,          -12310.8748,           21359.9861,
    7980.000,  -9432.2833,          -12431.3152,           21380.0147,
    8040.000,  -9232.8246,          -12550.7938,           21398.3890,
    8100.000,  -9032.6517,          -12669.3016,           21415.1077,
    8160.000,  -8831.7802,          -12786.8294,           21430.1697,
    8220.000,  -8630.2256,          -12903.3683,           21443.5740,
    8280.000,  -8428.0037,          -13018.9095,           21455.3198,
    8340.000,  -8225.1301,          -13133.4439,           21465.4063,
    8400.000,  -8021.6205,          -13246.9630,           21473.8330,
    8460.000,  -7817.4909,          -13359.4580,           21480.5992,
    8520.000,  -7612.7570,          -13470.9204,           21485.7048,
    8580.000,  -7407.4347,          -13581.3416,           21489.1495,
    8640.000,  -7201.5399,          -13690.7133,           21490.9331,
    8700.000,  -6995.0887,          -13799.0270,           21491.0558,
