C:/Users/IFT/Documents/SOAP Scenarios/GPS BIIF-1.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 11:32:46 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,

      -0.000,  14788.5621,            -894.4494,          -21883.5687,
      60.000,  14780.9216,           -1063.0513,          -21882.4019,
     120.000,  14773.8907,           -1231.6552,          -21879.5341,
     180.000,  14767.4698,           -1400.2458,          -21874.9656,
     240.000,  14761.6593,           -1568.8080,          -21868.6971,
     300.000,  14756.4592,           -1737.3264,          -21860.7291,
     360.000,  14751.8697,           -1905.7860,          -21851.0626,
     420.000,  14747.8905,           -2074.1715,          -21839.6985,
     480.000,  14744.5213,           -2242.4678,          -21826.6378,
     540.000,  14741.7616,           -2410.6596,          -21811.8818,
     600.000,  14739.6107,           -2578.7320,          -21795.4319,
     660.000,  14738.0678,           -2746.6696,          -21777.2895,
     720.000,  14737.1318,           -2914.4575,          -21757.4562,
     780.000,  14736.8015,           -3082.0804,          -21735.9338,
     840.000,  14737.0757,           -3249.5234,          -21712.7242,
     900.000,  14737.9528,           -3416.7714,          -21687.8294,
     960.000,  14739.4312,           -3583.8095,          -21661.2516,
    1020.000,  14741.5089,           -3750.6225,          -21632.9930,
    1080.000,  14744.1840,           -3917.1956,          -21603.0560,
    1140.000,  14747.4543,           -4083.5139,          -21571.4432,
    1200.000,  14751.3176,           -4249.5624,          -21538.1573,
    1260.000,  14755.7712,           -4415.3264,          -21503.2011,
    1320.000,  14760.8125,           -4580.7911,          -21466.5774,
    1380.000,  14766.4387,           -4745.9417,          -21428.2894,
    1440.000,  14772.6469,           -4910.7636,          -21388.3402,
    1500.000,  14779.4338,           -5075.2420,          -21346.7333,
    1560.000,  14786.7962,           -5239.3624,          -21303.4719,
    1620.000,  14794.7305,           -5403.1103,          -21258.5598,
    1680.000,  14803.2333,           -5566.4711,          -21212.0006,
    1740.000,  14812.3006,           -5729.4305,          -21163.7982,
    1800.000,  14821.9286,           -5891.9740,          -21113.9565,
    1860.000,  14832.1131,           -6054.0875,          -21062.4797,
    1920.000,  14842.8499,           -6215.7566,          -21009.3719,
    1980.000,  14854.1346,           -6376.9672,          -20954.6374,
    2040.000,  14865.9626,           -6537.7051,          -20898.2809,
    2100.000,  14878.3292,           -6697.9565,          -20840.3068,
    2160.000,  14891.2295,           -6857.7072,          -20780.7199,
    2220.000,  14904.6585,           -7016.9435,          -20719.5250,
    2280.000,  14918.6110,           -7175.6515,          -20656.7271,
    2340.000,  14933.0818,           -7333.8176,          -20592.3314,
    2400.000,  14948.0652,           -7491.4281,          -20526.3429,
    2460.000,  14963.5558,           -7648.4694,          -20458.7671,
    2520.000,  14979.5478,           -7804.9281,          -20389.6095,
    2580.000,  14996.0351,           -7960.7909,          -20318.8755,
    2640.000,  15013.0119,           -8116.0444,          -20246.5710,
    2700.000,  15030.4718,           -8270.6755,          -20172.7017,
    2760.000,  15048.4086,           -8424.6710,          -20097.2737,
    2820.000,  15066.8157,           -8578.0180,          -20020.2929,
    2880.000,  15085.6865,           -8730.7036,          -19941.7655,
    2940.000,  15105.0144,           -8882.7150,          -19861.6979,
    3000.000,  15124.7923,           -9034.0395,          -19780.0965,
    3060.000,  15145.0133,           -9184.6645,          -19696.9678,
    3120.000,  15165.6701,           -9334.5776,          -19612.3184,
    3180.000,  15186.7556,           -9483.7663,          -19526.1553,
    3240.000,  15208.2622,           -9632.2184,          -19438.4851,
    3300.000,  15230.1824,           -9779.9218,          -19349.3151,
    3360.000,  15252.5085,           -9926.8644,          -19258.6522,
    3420.000,  15275.2327,          -10073.0343,          -19166.5036,
    3480.000,  15298.3470,          -10218.4197,          -19072.8769,
    3540.000,  15321.8435,          -10363.0090,          -18977.7793,
    3600.000,  15345.7138,          -10506.7905,          -18881.2185,
    3660.000,  15369.9497,          -10649.7529,          -18783.2022,
    3720.000,  15394.5428,          -10791.8847,          -18683.7381,
    3780.000,  15419.4845,          -10933.1750,          -18582.8341,
    3840.000,  15444.7661,          -11073.6125,          -18480.4983,
    3900.000,  15470.3789,          -11213.1863,          -18376.7388,
    3960.000,  15496.3140,          -11351.8858,          -18271.5638,
    4020.000,  15522.5623,          -11489.7001,          -18164.9816,
    4080.000,  15549.1148,          -11626.6188,          -18057.0007,
    4140.000,  15575.9623,          -11762.6314,          -17947.6296,
    4200.000,  15603.0954,          -11897.7278,          -17836.8769,
    4260.000,  15630.5046,          -12031.8978,          -17724.7515,
    4320.000,  15658.1805,          -12165.1314,          -17611.2622,
    4380.000,  15686.1134,          -12297.4188,          -17496.4179,
    4440.000,  15714.2936,          -12428.7503,          -17380.2277,
    4500.000,  15742.7112,          -12559.1163,          -17262.7008,
    4560.000,  15771.3564,          -12688.5075,          -17143.8464,
    4620.000,  15800.2190,          -12816.9146,          -17023.6738,
