C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIF-3.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:30:32 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000,  22208.7676,          -14700.1435,            1908.2891,
      60.000,  22186.7509,          -14709.0010,            2094.7530,
     120.000,  22163.5614,          -14717.2291,            2281.0590,
     180.000,  22139.1948,          -14724.8377,            2467.1930,
     240.000,  22113.6474,          -14731.8368,            2653.1410,
     300.000,  22086.9154,          -14738.2363,            2838.8891,
     360.000,  22058.9950,          -14744.0465,            3024.4231,
     420.000,  22029.8830,          -14749.2773,            3209.7293,
     480.000,  21999.5761,          -14753.9391,            3394.7935,
     540.000,  21968.0709,          -14758.0421,            3579.6019,
     600.000,  21935.3647,          -14761.5966,            3764.1406,
     660.000,  21901.4545,          -14764.6131,            3948.3956,
     720.000,  21866.3377,          -14767.1019,            4132.3531,
     780.000,  21830.0118,          -14769.0735,            4315.9992,
     840.000,  21792.4744,          -14770.5384,            4499.3202,
     900.000,  21753.7232,          -14771.5074,            4682.3022,
     960.000,  21713.7564,          -14771.9908,            4864.9315,
    1020.000,  21672.5719,          -14771.9996,            5047.1942,
    1080.000,  21630.1680,          -14771.5442,            5229.0768,
    1140.000,  21586.5433,          -14770.6356,            5410.5655,
    1200.000,  21541.6962,          -14769.2844,            5591.6467,
    1260.000,  21495.6256,          -14767.5016,            5772.3067,
    1320.000,  21448.3304,          -14765.2979,            5952.5320,
    1380.000,  21399.8095,          -14762.6842,            6132.3089,
    1440.000,  21350.0624,          -14759.6715,            6311.6241,
    1500.000,  21299.0884,          -14756.2708,            6490.4639,
    1560.000,  21246.8871,          -14752.4928,            6668.8149,
    1620.000,  21193.4581,          -14748.3488,            6846.6638,
    1680.000,  21138.8014,          -14743.8496,            7023.9971,
    1740.000,  21082.9171,          -14739.0063,            7200.8015,
    1800.000,  21025.8053,          -14733.8299,            7377.0637,
    1860.000,  20967.4664,          -14728.3315,            7552.7705,
    1920.000,  20907.9011,          -14722.5222,            7727.9086,
    1980.000,  20847.1100,          -14716.4131,            7902.4648,
    2040.000,  20785.0939,          -14710.0152,            8076.4261,
