C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIR-3.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:42:44 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,
      -0.000, -22798.3274,           10709.5163,            8786.6868,
      60.000, -22731.2799,           10724.1232,            8952.5894,
     120.000, -22663.0778,           10738.7168,            9117.8155,
     180.000, -22593.7258,           10753.3069,            9282.3529,
     240.000, -22523.2283,           10767.9029,            9446.1895,
     300.000, -22451.5903,           10782.5144,            9609.3131,
     360.000, -22378.8166,           10797.1509,            9771.7119,
     420.000, -22304.9124,           10811.8218,            9933.3738,
     480.000, -22229.8828,           10826.5365,           10094.2870,
     540.000, -22153.7332,           10841.3043,           10254.4397,
     600.000, -22076.4691,           10856.1346,           10413.8201,
     660.000, -21998.0960,           10871.0366,           10572.4166,
     720.000, -21918.6198,           10886.0194,           10730.2175,
     780.000, -21838.0464,           10901.0922,           10887.2114,
     840.000, -21756.3817,           10916.2641,           11043.3867,
     900.000, -21673.6320,           10931.5440,           11198.7320,
     960.000, -21589.8035,           10946.9410,           11353.2361,
    1020.000, -21504.9026,           10962.4639,           11506.8876,
    1080.000, -21418.9359,           10978.1215,           11659.6755,
    1140.000, -21331.9100,           10993.9225,           11811.5885,
    1200.000, -21243.8319,           11009.8758,           11962.6156,
    1260.000, -21154.7083,           11025.9899,           12112.7459,
    1320.000, -21064.5464,           11042.2733,           12261.9684,
    1380.000, -20973.3534,           11058.7345,           12410.2725,
    1440.000, -20881.1365,           11075.3820,           12557.6472,
    1500.000, -20787.9031,           11092.2240,           12704.0820,
    1560.000, -20693.6609,           11109.2689,           12849.5663,
    1620.000, -20598.4174,           11126.5247,           12994.0895,
    1680.000, -20502.1805,           11143.9996,           13137.6413,
    1740.000, -20404.9581,           11161.7016,           13280.2113,
    1800.000, -20306.7581,           11179.6386,           13421.7891,
    1860.000, -20207.5888,           11197.8185,           13562.3648,
    1920.000, -20107.4583,           11216.2490,           13701.9280,
