C:/Users/IFT/Documents/SOAP Scenarios/Crosslink Scenario Data/GPS BIIRM-4.txt
2017/12/21 00:05:27.7500 UTC

Generated: Fri Apr 13 14:50:20 2018,
Start: 2017/11/21 00:05:27.75, Stop: 2017/12/22 00:05:27.75,
TIME_UNITS,     pos-X,              pox-Y,              pos-Z,
SECONDS,        km,                 km,                 km,

      -0.000,  13853.7491,           -9661.7840,           20750.5324,
      60.000,  13723.5665,           -9747.9636,           20794.8677,
     120.000,  13593.3752,           -9834.7388,           20837.6449,
     180.000,  13463.1875,           -9922.1046,           20878.8604,
     240.000,  13333.0156,          -10010.0558,           20918.5110,
     300.000,  13202.8718,          -10098.5874,           20956.5933,
     360.000,  13072.7681,          -10187.6939,           20993.1044,
     420.000,  12942.7168,          -10277.3698,           21028.0411,
     480.000,  12812.7298,          -10367.6095,           21061.4006,
     540.000,  12682.8192,          -10458.4072,           21093.1801,
     600.000,  12552.9970,          -10549.7569,           21123.3770,
     660.000,  12423.2749,          -10641.6527,           21151.9888,
     720.000,  12293.6649,          -10734.0882,           21179.0130,
     780.000,  12164.1787,          -10827.0572,           21204.4472,
     840.000,  12034.8281,          -10920.5532,           21228.2894,
     900.000,  11905.6247,          -11014.5696,           21250.5375,
     960.000,  11776.5801,          -11109.0996,           21271.1895,
    1020.000,  11647.7058,          -11204.1363,           21290.2435,
    1080.000,  11519.0133,          -11299.6727,           21307.6978,
    1140.000,  11390.5139,          -11395.7018,           21323.5508,
    1200.000,  11262.2191,          -11492.2161,           21337.8011,
    1260.000,  11134.1399,          -11589.2083,           21350.4473,
    1320.000,  11006.2877,          -11686.6710,           21361.4880,
    1380.000,  10878.6734,          -11784.5963,           21370.9222,
    1440.000,  10751.3082,          -11882.9765,           21378.7489,
    1500.000,  10624.2028,          -11981.8037,           21384.9672,
    1560.000,  10497.3682,          -12081.0699,           21389.5762,
    1620.000,  10370.8152,          -12180.7669,           21392.5753,
    1680.000,  10244.5544,          -12280.8864,           21393.9640,
    1740.000,  10118.5963,          -12381.4200,           21393.7419,
    1800.000,   9992.9516,          -12482.3592,           21391.9086,
    1860.000,   9867.6307,          -12583.6954,           21388.4639,
    1920.000,   9742.6437,          -12685.4197,           21383.4079,
    1980.000,   9618.0011,          -12787.5233,           21376.7405,
    2040.000,   9493.7129,          -12889.9972,           21368.4619,
    2100.000,   9369.7891,          -12992.8323,           21358.5724,
    2160.000,   9246.2398,          -13096.0194,           21347.0724,
    2220.000,   9123.0747,          -13199.5492,           21333.9625,
    2280.000,   9000.3036,          -13303.4122,           21319.2433,
    2340.000,   8877.9361,          -13407.5988,           21302.9156,
    2400.000,   8755.9818,          -13512.0994,           21284.9802,
    2460.000,   8634.4500,          -13616.9043,           21265.4382,
    2520.000,   8513.3502,          -13722.0036,           21244.2907,
    2580.000,   8392.6915,          -13827.3873,           21221.5390,
    2640.000,   8272.4831,          -13933.0454,           21197.1844,
    2700.000,   8152.7339,          -14038.9677,           21171.2284,
    2760.000,   8033.4528,          -14145.1438,           21143.6726,
    2820.000,   7914.6486,          -14251.5636,           21114.5188,
    2880.000,   7796.3300,          -14358.2165,           21083.7688,
    2940.000,   7678.5055,          -14465.0919,           21051.4245,
    3000.000,   7561.1834,          -14572.1793,           21017.4882,
    3060.000,   7444.3722,          -14679.4679,           20981.9619,
    3120.000,   7328.0800,          -14786.9469,           20944.8480,
    3180.000,   7212.3149,          -14894.6053,           20906.1489,
    3240.000,   7097.0848,          -15002.4323,           20865.8673,
    3300.000,   6982.3975,          -15110.4166,           20824.0058,
    3360.000,   6868.2607,          -15218.5473,           20780.5672,
    3420.000,   6754.6820,          -15326.8129,           20735.5545,
    3480.000,   6641.6689,          -15435.2023,           20688.9706,
    3540.000,   6529.2286,          -15543.7040,           20640.8188,
    3600.000,   6417.3683,          -15652.3066,           20591.1024,
    3660.000,   6306.0951,          -15760.9985,           20539.8247,
    3720.000,   6195.4159,          -15869.7681,           20486.9893,
    3780.000,   6085.3376,          -15978.6038,           20432.5997,
    3840.000,   5975.8666,          -16087.4938,           20376.6599,
    3900.000,   5867.0097,          -16196.4263,           20319.1736,
    3960.000,   5758.7732,          -16305.3894,           20260.1448,
    4020.000,   5651.1632,          -16414.3711,           20199.5777,
    4080.000,   5544.1861,          -16523.3596,           20137.4765,
    4140.000,   5437.8476,          -16632.3427,           20073.8455,
    4200.000,   5332.1537,          -16741.3084,           20008.6893,
    4260.000,   5227.1101,          -16850.2443,           19942.0123,
    4320.000,   5122.7224,          -16959.1385,           19873.8193,
    4380.000,   5018.9959,          -17067.9785,           19804.1151,
    4440.000,   4915.9359,          -17176.7520,           19732.9046,
    4500.000,   4813.5476,          -17285.4468,           19660.1930,
    4560.000,   4711.8359,          -17394.0503,           19585.9853,
    4620.000,   4610.8058,          -17502.5502,           19510.2868,
    4680.000,   4510.4619,          -17610.9339,           19433.1030,
    4740.000,   4410.8088,          -17719.1890,           19354.4393,
